ID-model,GO:0003674,GO:0000982,GO:0001077,GO:0022836,GO:0022839,GO:0005216,GO:0015267,GO:0022803,GO:0022838,GO:0004888,GO:0016740,GO:0001071,GO:0003700,GO:0038023,GO:0015075,GO:0000976,GO:0043565,GO:0004872,GO:0000981,GO:0016787,GO:0000977,GO:0003677,GO:0001012,GO:0004871,GO:0060089,GO:0001228,GO:0000987,GO:0001159,GO:0003676,GO:0022891,GO:0022857,GO:1901363,GO:0003823,GO:0003824,GO:0001067,GO:0022892,GO:0097159,GO:0043167,GO:0000975,GO:0044212,GO:0000978,GO:0005215,GO:0005488,GO:0008092,GO:0042803,GO:0031267,GO:0017016,GO:0051020,GO:0042802,GO:0046983,GO:0032403,GO:0005515,GO:0005102,GO:0003682,GO:0019899,GO:0043566,GO:0019901,GO:0019900,GO:0031490
87-1,NaN,0.59,0.55,0.90,0.90,0.87,0.87,0.87,0.87,0.93,0.98,0.87,0.87,0.93,0.92,0.52,0.74,0.88,0.58,0.92,0.50,0.90,0.50,0.93,0.93,0.53,0.50,0.50,0.91,0.89,0.89,0.86,0.73,0.89,0.59,0.89,0.84,0.75,0.59,0.59,0.50,0.86,0.68,0.68,0.52,0.58,0.58,0.57,0.49,0.50,0.58,0.60,0.62,0.74,0.53,0.55,0.49,0.49,0.50
87-2,NaN,0.59,0.55,0.90,0.90,0.87,0.87,0.87,0.87,0.89,0.96,0.87,0.87,0.89,0.92,0.52,0.74,0.85,0.58,0.93,0.50,0.90,0.50,0.89,0.89,0.53,0.50,0.50,0.91,0.89,0.89,0.82,0.73,0.91,0.59,0.89,0.81,0.73,0.59,0.59,0.50,0.86,0.64,0.66,0.52,0.58,0.58,0.57,0.49,0.50,0.58,0.59,0.61,0.74,0.52,0.55,0.49,0.49,0.50
87-3,NaN,0.55,0.50,0.94,0.94,0.91,0.91,0.91,0.91,0.93,0.97,0.92,0.92,0.93,0.95,0.52,0.77,0.93,0.56,0.88,0.50,0.88,0.50,0.93,0.93,0.50,0.50,0.50,0.90,0.95,0.95,0.83,0.83,0.87,0.60,0.95,0.81,0.74,0.60,0.60,0.50,0.92,0.66,0.71,0.49,0.59,0.59,0.59,0.48,0.46,0.52,0.60,0.58,0.74,0.52,0.50,0.50,0.50,0.50
88-1,NaN,0.62,0.59,0.95,0.95,0.96,0.96,0.96,0.96,0.89,0.94,0.71,0.71,0.89,0.92,0.63,0.64,0.90,0.66,0.82,0.64,0.75,0.64,0.88,0.88,0.56,0.53,0.53,0.77,0.89,0.93,0.76,0.82,0.84,0.67,0.93,0.75,0.72,0.67,0.67,0.53,0.90,0.76,0.69,0.51,0.54,0.54,0.54,0.57,0.48,0.63,0.67,0.61,0.85,0.52,0.67,0.49,0.49,0.74
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,0.49,0.50,0.50,0.50,0.49,0.49,0.49,0.49,1.00,0.55,0.63,0.63,1.00,0.49,0.54,0.51,0.98,0.55,0.64,0.49,0.50,0.49,0.71,0.71,0.50,0.49,0.49,0.52,0.49,0.49,0.56,0.50,0.66,0.55,0.48,0.54,0.74,0.55,0.52,0.49,0.48,0.64,0.47,0.48,0.49,0.49,0.49,0.47,0.47,0.48,0.59,0.53,0.52,0.53,0.58,0.64,0.64,0.50
91-2,NaN,0.49,0.50,0.50,0.50,0.49,0.49,0.49,0.49,1.00,0.54,0.65,0.65,0.99,0.49,0.54,0.51,0.98,0.55,0.64,0.49,0.51,0.49,0.84,0.84,0.50,0.49,0.49,0.52,0.49,0.49,0.56,0.50,0.64,0.55,0.48,0.55,0.71,0.55,0.51,0.49,0.48,0.59,0.47,0.48,0.49,0.49,0.49,0.47,0.47,0.48,0.56,0.54,0.53,0.53,0.55,0.64,0.64,0.50
91-3,NaN,0.45,0.46,0.48,0.48,0.47,0.47,0.47,0.47,0.38,0.66,0.44,0.44,0.38,0.45,0.48,0.53,0.38,0.45,0.38,0.48,0.58,0.48,0.89,0.89,0.46,0.50,0.50,0.57,0.45,0.45,0.60,0.49,0.46,0.45,0.45,0.60,0.97,0.45,0.45,0.50,0.57,0.37,0.57,0.50,0.47,0.47,0.47,0.50,0.50,0.44,0.54,0.42,0.49,0.50,0.61,0.47,0.47,0.50
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94-1,NaN,0.59,0.55,0.95,0.95,0.92,0.92,0.92,0.92,0.93,0.97,0.88,0.88,0.93,0.92,0.52,0.72,0.96,0.61,0.86,0.50,0.89,0.50,0.92,0.92,0.53,0.50,0.50,0.89,0.89,0.93,0.82,0.83,0.82,0.56,0.89,0.80,0.75,0.56,0.56,0.50,0.90,0.77,0.70,0.46,0.57,0.57,0.57,0.54,0.48,0.54,0.65,0.60,0.54,0.50,0.50,0.49,0.49,0.50
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,0.50,0.50,0.47,0.47,0.51,0.51,0.51,0.51,0.49,0.50,0.56,0.56,0.49,0.51,0.54,0.53,0.48,0.50,0.51,0.50,0.50,0.50,0.51,0.51,0.50,0.50,0.50,0.52,0.50,0.53,0.50,0.50,0.48,0.52,0.49,0.50,0.50,0.52,0.52,0.50,0.47,0.50,0.50,0.53,0.50,0.50,0.50,0.51,0.53,0.50,0.51,0.50,0.50,0.50,0.54,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.49,0.49,0.48,0.48,0.48,0.48,0.50,0.49,0.53,0.53,0.50,0.48,0.51,0.51,0.49,0.50,0.58,0.50,0.52,0.50,0.44,0.44,0.50,0.50,0.50,0.53,0.48,0.48,0.54,0.50,0.55,0.51,0.47,0.55,0.50,0.51,0.51,0.50,0.50,0.52,0.50,0.54,0.50,0.50,0.50,0.56,0.52,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.61,0.61,0.63,0.63,0.63,0.63,0.53,0.61,0.51,0.51,0.53,0.63,0.57,0.53,0.52,0.50,0.45,0.50,0.52,0.50,0.55,0.55,0.50,0.50,0.50,0.53,0.63,0.62,0.51,0.50,0.49,0.54,0.62,0.50,0.50,0.54,0.54,0.50,0.64,0.54,0.50,0.48,0.50,0.50,0.50,0.54,0.48,0.50,0.46,0.53,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.75,NaN,NaN,NaN,NaN,0.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99-1,NaN,0.50,0.50,0.95,0.95,0.96,0.96,0.96,0.96,0.97,0.99,0.93,0.93,0.97,0.91,0.50,0.88,0.96,0.64,0.94,0.50,0.91,0.50,0.95,0.95,0.50,0.50,0.50,0.93,0.91,0.92,0.90,0.87,0.92,0.61,0.91,0.88,0.78,0.61,0.61,0.50,0.88,0.79,0.79,0.50,0.53,0.53,0.53,0.57,0.48,0.60,0.63,0.56,0.74,0.56,0.60,0.49,0.49,0.50
