ID-model,GO:0003674,GO:0016409,GO:0070011,GO:0016747,GO:0016757,GO:0016746,GO:0022891,GO:0022857,GO:0016773,GO:0016788,GO:0008233,GO:0016491,GO:0017111,GO:0016462,GO:0016818,GO:0016817,GO:0016301,GO:0016772,GO:0004672,GO:0016740,GO:0016874,GO:0016787,GO:0004842,GO:0019787,GO:0016881,GO:0016879,GO:0022892,GO:0003677,GO:0005215,GO:0000166,GO:1901265,GO:0003676,GO:0000975,GO:0044212,GO:0001067,GO:0043565,GO:0001071,GO:0003700,GO:0003824,GO:0097159,GO:1901363,GO:0036094,GO:0000976,GO:0030695,GO:0000981,GO:0043168,GO:0008289,GO:0000977,GO:0001012,GO:0060589,GO:0008092,GO:0008047,GO:0030234,GO:0017016,GO:0031267,GO:0051020,GO:0043167,GO:0017137,GO:0005488,GO:0032403,GO:0005515,GO:0046872,GO:0005102,GO:0042802,GO:0043169,GO:0019899,GO:0046983,GO:0042803
79-2,NaN,NaN,1.00,1.00,1.00,1.00,0.99,0.99,1.00,0.99,1.00,0.94,0.94,0.94,0.94,0.94,1.00,1.00,0.93,1.00,0.79,0.96,0.49,0.76,0.76,0.76,0.93,0.81,0.93,0.86,0.85,0.93,0.79,0.68,0.79,0.77,0.95,0.86,0.85,0.89,0.90,0.85,0.73,0.83,0.84,0.89,0.75,0.63,0.70,0.73,0.74,1.00,0.78,0.82,0.82,0.82,0.71,0.50,0.76,0.64,0.67,0.58,0.67,0.45,0.57,0.52,0.44,0.50
79-3,NaN,0.95,1.00,0.96,1.00,1.00,0.94,0.94,1.00,0.92,1.00,1.00,0.94,0.94,0.94,0.94,1.00,0.99,0.95,0.99,0.72,0.97,0.49,0.70,0.70,0.70,0.91,0.88,0.91,0.83,0.82,0.94,0.73,0.64,0.72,0.70,0.81,0.74,0.89,0.89,0.89,0.74,0.66,0.90,0.72,0.83,0.73,0.57,0.62,0.80,0.72,0.80,0.80,0.73,0.72,0.72,0.74,0.50,0.70,0.63,0.66,0.67,0.52,0.50,0.77,0.55,0.43,0.49
80-1,NaN,0.94,1.00,0.95,1.00,1.00,0.89,0.89,1.00,1.00,1.00,0.96,0.99,0.99,0.99,0.99,1.00,0.95,1.00,0.98,0.90,0.98,0.89,0.89,0.89,0.89,0.91,0.92,0.99,0.86,0.86,0.93,0.63,0.63,0.63,0.88,0.85,0.85,0.95,0.85,0.86,0.75,0.74,1.00,0.74,0.78,0.71,0.59,0.59,0.74,0.63,0.66,0.77,0.50,0.50,0.49,0.73,0.50,0.54,0.56,0.68,0.81,0.58,0.62,0.75,0.49,0.55,0.59
80-2,NaN,0.91,1.00,0.93,0.99,1.00,0.94,0.94,1.00,0.98,0.96,1.00,0.90,0.91,0.91,0.91,1.00,1.00,1.00,0.99,0.94,0.95,0.77,0.77,0.77,0.76,0.91,0.96,0.90,0.77,0.77,0.96,0.53,0.53,0.53,0.79,0.87,0.87,0.92,0.88,0.88,0.76,0.57,0.94,0.49,0.80,0.72,0.50,0.50,0.90,0.66,0.73,0.79,0.74,0.74,0.74,0.66,0.72,0.52,0.58,0.68,0.71,0.54,0.48,0.69,0.56,0.51,0.51
81-1,NaN,0.50,0.93,0.60,1.00,0.60,0.89,0.85,0.95,0.97,0.90,1.00,0.94,0.91,0.91,0.91,1.00,0.96,0.95,0.87,0.60,0.93,0.50,0.55,0.55,0.55,0.86,0.83,0.86,0.49,0.49,0.83,0.50,0.50,0.50,0.82,0.86,0.86,0.86,0.74,0.74,0.49,0.50,0.83,0.50,0.53,0.50,0.50,0.50,0.78,0.70,0.77,0.78,0.50,0.50,0.50,0.47,0.50,0.62,0.50,0.65,0.57,0.56,0.60,0.55,0.49,0.55,0.56
81-2,NaN,0.50,0.93,0.60,1.00,0.60,0.89,0.85,0.95,0.97,0.90,1.00,0.94,0.91,0.91,0.91,1.00,0.96,0.95,0.87,0.60,0.93,0.50,0.55,0.55,0.55,0.86,0.83,0.86,0.49,0.49,0.83,0.50,0.50,0.50,0.82,0.86,0.86,0.86,0.74,0.74,0.49,0.50,0.83,0.50,0.53,0.50,0.50,0.50,0.78,0.70,0.77,0.77,0.50,0.50,0.50,0.47,0.50,0.62,0.50,0.65,0.56,0.56,0.60,0.55,0.49,0.55,0.56
82-1,NaN,1.00,0.99,0.99,1.00,0.99,0.93,0.93,0.93,0.94,0.96,0.99,0.93,0.93,0.93,0.93,0.87,0.87,0.88,0.91,0.93,0.90,0.92,0.92,0.92,0.92,0.89,0.90,0.88,0.90,0.90,0.85,0.86,0.86,0.86,0.88,0.94,0.94,0.84,0.83,0.83,0.89,0.84,0.95,0.77,0.86,0.84,0.74,0.74,0.86,0.83,0.77,0.81,0.83,0.82,0.82,0.73,0.85,0.62,0.73,0.65,0.62,0.65,0.58,0.61,0.52,0.51,0.49
83-1,NaN,1.00,1.00,1.00,1.00,1.00,0.93,0.93,1.00,0.96,0.96,0.98,0.94,0.94,0.94,0.94,1.00,0.99,1.00,0.98,0.93,0.93,0.93,0.93,0.93,0.93,0.89,0.93,0.89,0.89,0.89,0.93,0.84,0.84,0.84,0.94,0.97,0.97,0.89,0.70,0.70,0.81,0.93,0.88,0.96,0.85,0.84,0.86,0.91,0.81,0.87,0.80,0.76,0.75,0.75,0.75,0.64,0.75,0.52,0.59,0.57,0.69,0.61,0.55,0.66,0.51,0.58,0.57
83-2,NaN,1.00,1.00,1.00,1.00,1.00,0.93,0.93,1.00,0.95,0.96,0.99,0.94,0.94,0.94,0.94,1.00,0.99,1.00,0.99,0.93,0.93,0.93,0.93,0.93,0.93,0.89,0.93,0.89,0.89,0.89,0.93,0.78,0.78,0.78,0.95,0.97,0.97,0.90,0.70,0.70,0.81,0.90,0.88,0.97,0.85,0.85,0.87,0.92,0.82,0.87,0.80,0.77,0.76,0.75,0.75,0.64,0.75,0.52,0.60,0.57,0.69,0.61,0.55,0.66,0.52,0.58,0.57
84-1,NaN,0.94,0.91,0.77,0.95,0.75,0.91,0.91,0.79,0.81,0.87,0.87,0.85,0.85,0.86,0.86,0.79,0.76,0.76,0.64,0.49,0.79,0.49,0.49,0.49,0.47,0.85,0.56,0.85,0.84,0.84,0.50,0.64,0.63,0.64,0.74,0.83,0.83,0.68,0.49,0.49,0.78,0.84,0.59,0.86,0.78,0.66,0.84,0.84,0.53,0.48,0.56,0.54,0.50,0.50,0.50,0.72,0.50,0.40,0.43,0.56,0.46,0.62,0.50,0.46,0.49,0.53,0.50
85-1,NaN,1.00,1.00,1.00,1.00,1.00,0.94,0.94,0.99,0.95,0.97,1.00,0.95,0.95,0.95,0.95,0.99,0.98,0.99,0.98,0.89,0.96,0.88,0.88,0.88,0.88,0.90,0.93,0.90,0.90,0.90,0.93,0.88,0.88,0.88,0.93,0.85,0.85,0.93,0.87,0.87,0.86,0.91,0.94,0.82,0.86,0.77,0.79,0.79,0.83,0.85,0.77,0.79,0.70,0.70,0.69,0.72,0.54,0.69,0.59,0.67,0.70,0.59,0.64,0.65,0.47,0.58,0.61
85-2,NaN,1.00,1.00,1.00,1.00,1.00,0.93,0.94,0.99,0.94,0.96,1.00,0.94,0.95,0.94,0.94,0.99,0.97,0.99,0.97,0.94,0.95,0.93,0.93,0.93,0.93,0.90,0.92,0.93,0.89,0.88,0.90,0.88,0.88,0.88,0.93,0.85,0.85,0.93,0.84,0.84,0.81,0.91,0.94,0.82,0.84,0.76,0.79,0.79,0.83,0.81,0.76,0.78,0.72,0.71,0.70,0.66,0.54,0.63,0.56,0.65,0.51,0.57,0.60,0.49,0.51,0.57,0.65
86-1,NaN,0.91,0.82,0.86,0.88,0.86,0.93,0.92,0.90,0.78,0.86,0.90,0.77,0.75,0.75,0.75,0.87,0.85,0.90,0.85,0.50,0.80,0.50,0.50,0.50,0.50,0.89,0.73,0.88,0.64,0.64,0.80,0.57,0.57,0.57,0.58,0.70,0.70,0.76,0.75,0.75,0.62,0.53,0.50,0.50,0.67,0.58,0.50,0.50,0.50,0.61,0.50,0.51,0.50,0.50,0.50,0.60,0.50,0.64,0.53,0.64,0.49,0.56,0.55,0.48,0.51,0.49,0.50
86-2,NaN,0.91,0.82,0.86,0.88,0.86,0.93,0.92,0.90,0.78,0.86,0.90,0.77,0.75,0.75,0.75,0.87,0.85,0.90,0.85,0.50,0.80,0.50,0.50,0.50,0.50,0.89,0.73,0.88,0.64,0.64,0.80,0.57,0.57,0.57,0.58,0.70,0.70,0.76,0.75,0.75,0.62,0.53,0.50,0.50,0.67,0.58,0.50,0.50,0.50,0.61,0.50,0.51,0.50,0.50,0.50,0.60,0.50,0.64,0.53,0.64,0.49,0.56,0.55,0.48,0.51,0.49,0.50
86-3,NaN,0.91,0.75,0.88,0.88,0.88,0.87,0.87,0.86,0.78,0.80,0.90,0.78,0.76,0.76,0.76,0.84,0.83,0.86,0.85,0.50,0.76,0.50,0.50,0.50,0.50,0.79,0.70,0.79,0.59,0.59,0.70,0.52,0.52,0.52,0.55,0.64,0.64,0.76,0.67,0.67,0.58,0.50,0.50,0.50,0.61,0.54,0.50,0.50,0.50,0.58,0.50,0.52,0.50,0.50,0.50,0.57,0.50,0.67,0.53,0.68,0.49,0.56,0.55,0.49,0.50,0.49,0.50
87-1,NaN,0.91,1.00,0.90,1.00,1.00,0.94,0.94,1.00,0.97,1.00,1.00,0.94,0.95,0.95,0.95,1.00,1.00,1.00,0.99,0.86,0.97,0.59,0.59,0.60,0.60,0.91,0.89,0.91,0.80,0.80,0.92,0.53,0.53,0.53,0.71,0.82,0.82,0.93,0.85,0.86,0.78,0.58,0.85,0.55,0.76,0.73,0.50,0.50,0.76,0.70,0.76,0.74,0.49,0.49,0.48,0.67,0.50,0.61,0.55,0.64,0.65,0.55,0.58,0.60,0.46,0.50,0.52
87-2,NaN,0.91,0.89,0.90,0.96,0.99,0.89,0.90,1.00,0.98,0.89,1.00,0.95,0.95,0.95,0.95,0.95,1.00,1.00,0.99,0.86,0.97,0.59,0.59,0.60,0.60,0.88,0.87,0.88,0.80,0.80,0.90,0.53,0.53,0.53,0.71,0.82,0.82,0.94,0.83,0.84,0.77,0.58,0.75,0.55,0.72,0.73,0.50,0.50,0.68,0.67,0.64,0.71,0.49,0.49,0.48,0.65,0.50,0.52,0.55,0.63,0.66,0.55,0.57,0.62,0.46,0.51,0.52
87-3,NaN,NaN,1.00,0.87,1.00,1.00,0.88,0.89,0.99,0.98,1.00,1.00,0.81,0.82,0.82,0.82,0.99,0.99,0.99,0.99,0.81,0.92,0.57,0.57,0.57,0.57,0.87,0.90,0.91,0.88,0.88,0.92,0.54,0.54,0.54,0.72,0.77,0.77,0.91,0.84,0.84,0.77,0.59,0.85,0.55,0.80,0.70,0.50,0.50,0.76,0.68,0.75,0.74,0.49,0.49,0.49,0.63,0.50,0.60,0.57,0.69,0.53,0.56,0.57,0.50,0.48,0.51,0.54
88-1,NaN,1.00,0.96,0.93,0.96,0.93,0.85,0.90,0.85,0.87,0.93,0.90,0.88,0.89,0.89,0.89,0.83,0.86,0.85,0.92,0.93,0.90,0.93,0.93,0.93,0.93,0.84,0.65,0.88,0.68,0.68,0.69,0.55,0.55,0.55,0.62,0.74,0.74,0.85,0.66,0.66,0.65,0.60,0.81,0.72,0.68,0.72,0.58,0.58,0.74,0.72,0.72,0.72,0.64,0.64,0.64,0.65,0.61,0.69,0.50,0.67,0.60,0.48,0.53,0.59,0.52,0.46,0.47
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,0.50,0.48,0.50,0.50,0.50,NaN,NaN,0.46,0.44,0.48,0.49,0.95,0.94,0.94,0.94,0.45,0.45,0.46,0.57,0.82,0.48,0.82,0.82,0.82,0.82,NaN,0.62,NaN,0.48,0.48,0.53,0.56,0.56,0.56,0.49,0.46,0.46,0.54,0.50,0.50,0.48,0.49,0.48,0.50,0.46,0.49,0.49,0.49,0.48,0.49,0.46,0.44,0.49,0.49,0.49,0.54,0.50,0.46,NaN,0.36,0.43,0.48,0.48,0.43,0.44,0.47,0.48
91-2,NaN,0.50,0.48,0.50,0.50,0.50,NaN,NaN,0.46,0.44,0.48,0.49,0.94,0.93,0.93,0.93,0.45,0.45,0.46,0.56,0.84,0.47,0.84,0.84,0.84,0.84,NaN,0.62,NaN,0.48,0.48,0.60,0.56,0.56,0.56,0.49,0.46,0.46,0.55,0.54,0.54,0.48,0.49,0.48,0.50,0.46,0.49,0.49,0.49,0.48,0.49,0.46,0.44,0.49,0.49,0.49,0.54,0.50,0.48,NaN,0.38,0.43,0.48,0.48,0.43,0.44,0.47,0.48
91-3,NaN,0.47,0.50,0.45,0.44,0.45,NaN,NaN,0.70,0.88,0.50,0.74,0.42,0.42,0.42,0.42,0.70,0.69,0.73,0.53,0.54,0.52,0.50,0.55,0.55,0.54,NaN,0.66,NaN,0.48,0.48,0.66,0.49,0.49,0.49,0.40,0.46,0.46,0.36,0.68,0.68,0.65,0.50,0.81,0.46,0.59,0.50,0.50,0.50,0.83,0.50,0.81,0.83,0.50,0.50,0.50,0.59,0.50,0.55,NaN,0.49,0.40,0.45,0.50,0.40,0.47,0.50,0.50
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94-1,NaN,0.64,1.00,0.73,1.00,1.00,0.89,0.85,0.99,0.95,0.96,0.99,0.87,0.88,0.88,0.88,0.98,0.98,0.99,0.97,0.71,0.94,0.63,0.63,0.64,0.64,0.80,0.91,0.87,0.73,0.73,0.92,0.56,0.56,0.56,0.76,0.74,0.74,0.87,0.85,0.85,0.71,0.60,0.89,0.59,0.72,0.64,0.59,0.59,0.80,0.71,0.74,0.75,0.60,0.60,0.60,0.62,0.56,0.64,0.52,0.72,0.61,0.50,0.58,0.58,0.50,0.50,0.52
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,0.50,0.57,0.50,0.50,0.50,0.48,0.60,0.35,0.54,0.60,0.44,0.45,0.45,0.45,0.45,0.34,0.31,0.37,0.55,0.52,0.49,0.52,0.52,0.52,0.52,0.68,0.48,0.63,0.50,0.50,0.48,0.51,0.51,0.51,0.51,0.64,0.64,0.51,0.45,0.45,0.50,0.56,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.48,0.52,0.50,0.50,0.51,0.54
96-2,NaN,0.50,0.60,0.50,0.50,0.50,0.49,0.49,0.70,0.39,0.60,0.43,0.52,0.50,0.50,0.50,0.69,0.54,0.60,0.51,0.54,0.47,0.55,0.55,0.55,0.55,0.48,0.54,0.59,0.50,0.50,0.54,0.51,0.51,0.51,0.50,0.50,0.50,0.49,0.46,0.46,0.50,0.53,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.47,0.50,0.53,0.50,0.49,0.54,0.50,0.50,0.49,0.49
96-3,NaN,0.50,0.51,0.50,0.50,0.50,0.66,0.61,0.53,0.61,0.50,0.59,0.47,0.47,0.47,0.47,0.51,0.58,0.56,0.55,0.45,0.57,0.45,0.45,0.45,0.45,0.69,0.42,0.67,0.50,0.50,0.42,0.39,0.39,0.39,0.38,0.39,0.39,0.48,0.42,0.42,0.50,0.39,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.53,0.50,0.49,0.50,0.50,0.50,0.49,0.50
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.41,0.71,0.39,0.66,0.43,0.70,0.70,0.64,0.56,0.71,0.70,0.80,0.79,0.79,0.79,0.64,0.56,0.64,0.58,0.41,0.55,0.29,0.29,0.52,0.51,0.67,0.48,0.69,0.93,0.93,0.46,0.45,0.45,0.45,0.64,0.62,0.62,0.54,0.46,0.46,0.76,0.71,0.73,0.83,0.50,0.40,0.75,0.74,0.72,0.55,0.65,0.76,0.52,0.52,0.54,0.56,0.50,0.46,0.69,0.55,0.61,0.51,0.58,0.60,0.50,0.43,0.57
99-1,NaN,1.00,1.00,1.00,1.00,1.00,0.94,0.94,1.00,0.98,0.96,0.96,0.95,0.94,0.94,0.94,1.00,1.00,1.00,0.98,0.94,0.95,0.94,0.93,0.93,0.93,0.90,0.94,0.90,0.86,0.86,0.95,0.65,0.65,0.65,0.85,0.86,0.86,0.92,0.92,0.92,0.81,0.50,0.88,0.69,0.85,0.86,0.50,0.50,0.82,0.73,0.82,0.81,0.54,0.53,0.53,0.73,0.50,0.73,0.55,0.69,0.68,0.43,0.58,0.67,0.57,0.58,0.54
