ID-model,GO:0003674,GO:0016409,GO:0016757,GO:0016829,GO:0016747,GO:0070011,GO:0016746,GO:0017111,GO:0016874,GO:0016491,GO:0004672,GO:0016788,GO:0016879,GO:0015075,GO:0004842,GO:0019787,GO:0016881,GO:0004871,GO:0060089,GO:0008233,GO:0016462,GO:0016818,GO:0016817,GO:0032555,GO:0032553,GO:0003677,GO:0000975,GO:0044212,GO:0001067,GO:0016787,GO:0003676,GO:0003700,GO:0016740,GO:0016301,GO:0017076,GO:0043565,GO:0000166,GO:1901265,GO:0038023,GO:0030695,GO:0000976,GO:0001071,GO:0097159,GO:0004872,GO:0000981,GO:1901363,GO:0003824,GO:0022857,GO:0036094,GO:0016773,GO:0022891,GO:0016772,GO:0043168,GO:0005215,GO:0008289,GO:0022892,GO:0000977,GO:0001012,GO:0060589,GO:0008092,GO:0008047,GO:0030234,GO:0017016,GO:0031267,GO:0051020,GO:0043167,GO:0032403,GO:0017137,GO:0005515,GO:0005102,GO:0005488,GO:0046872,GO:0042802,GO:0043169,GO:0019899,GO:0042803,GO:0046983,GO:0019900
70-1,NaN,0.50,0.91,0.96,0.97,0.92,0.97,0.98,0.89,0.95,0.95,0.89,0.84,0.89,0.84,0.83,0.83,0.90,0.90,0.86,0.96,0.96,0.96,0.91,0.91,0.89,0.89,0.89,0.89,0.92,0.91,0.85,0.92,0.92,0.89,0.85,0.79,0.79,0.83,0.83,0.50,0.81,0.86,0.82,0.63,0.86,0.88,0.76,0.71,0.83,0.75,0.84,0.76,0.84,0.63,0.84,0.50,0.50,0.74,0.82,0.80,0.81,0.57,0.61,0.60,0.67,0.66,0.50,0.78,0.56,0.81,0.62,0.50,0.60,0.65,0.42,0.43,0.50
70-2,NaN,1.00,0.82,0.99,0.92,0.89,0.90,0.94,0.80,0.64,0.86,0.84,0.85,0.87,0.87,0.84,0.83,0.69,0.68,0.89,0.89,0.89,0.89,0.92,0.97,0.54,0.77,0.79,0.77,0.86,0.85,0.82,0.57,0.94,0.95,0.82,0.85,0.88,0.83,0.86,0.81,0.79,0.79,0.65,0.85,0.79,0.64,0.80,0.78,0.85,0.72,0.81,0.77,0.78,0.57,0.77,0.75,0.64,0.81,0.73,0.71,0.74,0.73,0.73,0.73,0.69,0.56,0.50,0.52,0.53,0.55,0.56,0.59,0.56,0.51,0.48,0.50,0.47
70-3,NaN,0.50,0.79,1.00,0.79,0.99,0.80,0.83,0.86,0.57,0.96,0.85,0.88,0.79,0.50,0.50,0.87,0.64,0.64,0.94,0.89,0.89,0.89,0.83,0.86,0.64,0.53,0.53,0.53,0.91,0.62,0.86,0.87,0.96,0.80,0.49,0.78,0.72,0.66,0.67,0.50,0.84,0.54,0.64,0.85,0.83,0.75,0.81,0.73,0.84,0.80,0.84,0.74,0.83,0.70,0.82,0.50,0.50,0.67,0.75,0.50,0.70,0.58,0.58,0.58,0.61,0.50,0.59,0.62,0.57,0.64,0.50,0.52,0.50,0.49,0.48,0.53,0.59
72-1,NaN,0.73,1.00,0.97,0.75,0.99,0.96,0.92,0.87,0.79,0.95,0.85,0.72,0.81,0.74,0.74,0.74,0.85,0.85,0.94,0.87,0.87,0.87,0.84,0.84,0.83,0.53,0.53,0.53,0.92,0.84,0.80,0.97,0.86,0.81,0.65,0.74,0.74,0.74,0.77,0.57,0.77,0.76,0.76,0.55,0.76,0.87,0.81,0.70,0.81,0.82,0.80,0.73,0.79,0.61,0.76,0.50,0.50,0.71,0.55,0.71,0.69,0.50,0.50,0.50,0.61,0.56,0.50,0.62,0.52,0.59,0.53,0.52,0.53,0.49,0.50,0.49,0.49
72-2,NaN,0.50,0.50,0.50,0.50,0.92,0.50,0.70,0.67,0.60,0.95,0.61,0.72,0.50,0.74,0.74,0.74,0.83,0.83,0.97,0.66,0.66,0.66,0.84,0.84,0.83,0.50,0.50,0.50,0.71,0.84,0.79,0.62,0.85,0.81,0.63,0.76,0.76,0.69,0.54,0.50,0.77,0.80,0.72,0.55,0.80,0.62,0.50,0.74,0.81,0.50,0.77,0.66,0.50,0.54,0.50,0.50,0.50,0.53,0.55,0.53,0.52,0.50,0.50,0.50,0.61,0.54,0.50,0.54,0.50,0.55,0.54,0.52,0.53,0.49,0.50,0.49,0.49
73-1,NaN,1.00,0.99,0.97,0.90,1.00,0.91,0.95,0.91,0.93,0.92,0.95,0.90,0.81,0.91,0.91,0.90,0.90,0.90,0.95,0.85,0.85,0.85,0.89,0.89,0.87,0.85,0.85,0.85,0.90,0.83,0.91,0.80,0.83,0.83,0.82,0.76,0.76,0.89,0.97,0.87,0.85,0.75,0.89,0.78,0.75,0.80,0.89,0.73,0.94,0.89,0.85,0.79,0.90,0.80,0.89,0.76,0.76,0.91,0.81,0.79,0.85,0.65,0.65,0.65,0.61,0.65,0.67,0.67,0.66,0.56,0.57,0.49,0.55,0.54,0.52,0.59,0.66
73-2,NaN,1.00,0.99,0.97,0.91,1.00,0.91,0.95,0.91,0.93,0.92,0.95,0.90,0.81,0.91,0.91,0.90,0.90,0.90,0.95,0.85,0.85,0.85,0.90,0.90,0.88,0.85,0.85,0.85,0.90,0.83,0.90,0.80,0.83,0.82,0.82,0.76,0.76,0.90,0.97,0.87,0.84,0.75,0.90,0.78,0.75,0.81,0.89,0.73,0.94,0.89,0.85,0.80,0.90,0.80,0.89,0.80,0.79,0.91,0.82,0.80,0.85,0.65,0.65,0.65,0.62,0.65,0.67,0.68,0.67,0.57,0.58,0.48,0.56,0.55,0.58,0.59,0.65
73-3,NaN,1.00,0.98,0.96,0.91,0.92,0.91,0.86,0.92,0.88,0.86,0.83,0.93,0.84,0.60,0.93,0.93,0.84,0.80,0.88,0.77,0.77,0.76,0.85,0.84,0.83,0.82,0.73,0.82,0.67,0.80,0.82,0.70,0.78,0.79,0.80,0.72,0.69,0.80,0.84,0.81,0.83,0.65,0.80,0.81,0.65,0.57,0.83,0.65,0.79,0.82,0.72,0.71,0.81,0.76,0.82,0.65,0.72,0.82,0.81,0.80,0.75,0.67,0.67,0.67,0.57,0.75,0.50,0.63,0.62,0.55,0.60,0.51,0.63,0.52,0.50,0.47,0.71
74-1,NaN,0.94,1.00,0.95,0.91,0.98,0.95,0.98,0.93,0.96,1.00,0.95,0.89,0.98,0.89,0.89,0.89,0.88,0.88,0.94,0.98,0.98,0.98,0.96,0.96,0.94,0.66,0.66,0.66,0.93,0.96,0.88,0.97,0.92,0.89,0.84,0.88,0.88,0.93,1.00,0.75,0.81,0.86,0.93,0.74,0.86,0.90,0.99,0.78,1.00,1.00,0.95,0.76,0.99,0.64,0.99,0.59,0.59,0.74,0.63,0.66,0.77,0.50,0.50,0.50,0.73,0.56,0.50,0.64,0.59,0.53,0.84,0.55,0.80,0.49,0.58,0.54,0.48
74-2,NaN,0.86,0.99,0.96,0.87,0.99,0.86,0.91,0.94,0.93,0.95,0.97,0.82,0.87,0.81,0.81,0.81,0.93,0.93,0.95,0.91,0.91,0.91,0.95,0.95,0.94,0.50,0.50,0.50,0.94,0.95,0.83,0.95,0.88,0.90,0.77,0.80,0.80,0.93,0.94,0.50,0.79,0.87,0.94,0.50,0.87,0.89,0.90,0.79,0.95,0.88,0.91,0.79,0.89,0.69,0.89,0.50,0.50,0.91,0.66,0.74,0.80,0.74,0.74,0.74,0.67,0.58,0.72,0.68,0.55,0.57,0.71,0.47,0.69,0.56,0.51,0.51,0.49
75-1,NaN,NaN,0.99,0.98,0.43,0.99,0.42,1.00,1.00,0.92,1.00,0.92,1.00,0.96,NaN,NaN,NaN,0.98,0.98,0.97,0.98,0.98,0.98,0.92,0.92,0.97,0.78,0.78,0.78,0.95,0.97,0.99,0.86,0.77,0.91,0.83,0.92,0.92,1.00,1.00,0.98,0.66,0.90,1.00,NaN,0.90,0.85,0.99,0.91,0.90,0.99,0.85,0.90,0.99,0.94,0.99,NaN,NaN,1.00,0.44,1.00,0.97,NaN,NaN,NaN,0.78,0.60,NaN,0.72,0.96,0.79,0.83,0.46,0.83,0.66,0.81,0.75,0.47
75-2,NaN,1.00,1.00,1.00,0.96,0.99,0.96,0.97,0.98,0.96,1.00,0.96,0.96,0.90,0.96,0.96,0.96,0.94,0.94,0.95,0.97,0.97,0.96,0.95,0.95,0.97,0.79,0.79,0.78,0.94,0.96,0.89,0.94,0.90,0.87,0.86,0.79,0.79,0.96,0.93,0.85,0.84,0.88,0.96,0.67,0.88,0.88,0.94,0.74,0.94,0.94,0.91,0.84,0.94,0.78,0.93,0.73,0.73,0.91,0.78,0.81,0.87,0.76,0.76,0.76,0.70,0.63,0.71,0.78,0.61,0.75,0.77,0.50,0.74,0.68,0.51,0.51,0.52
79-1,NaN,0.95,1.00,1.00,0.92,1.00,0.92,0.94,0.81,0.92,0.94,0.99,0.78,0.93,0.55,0.75,0.75,0.85,0.99,0.93,0.95,0.95,0.95,0.91,0.91,0.78,0.75,0.65,0.75,0.95,0.89,0.80,0.94,0.92,0.87,0.70,0.83,0.82,0.84,0.83,0.69,0.87,0.85,0.85,0.78,0.85,0.85,0.95,0.79,0.96,0.94,0.92,0.84,0.92,0.76,0.92,0.62,0.66,0.78,0.70,0.81,0.81,0.73,0.72,0.72,0.67,0.63,0.50,0.65,0.63,0.71,0.62,0.50,0.56,0.58,0.49,0.46,0.56
79-2,NaN,NaN,1.00,1.00,1.00,1.00,1.00,0.94,0.86,0.95,0.93,0.99,0.80,0.99,0.50,0.77,0.77,0.79,1.00,0.95,0.94,0.94,0.94,0.97,0.97,0.81,0.79,0.68,0.79,0.96,0.93,0.86,0.95,0.91,0.91,0.77,0.87,0.87,0.77,0.83,0.73,0.96,0.89,0.77,0.84,0.90,0.84,0.99,0.85,1.00,0.99,0.91,0.91,0.93,0.75,0.93,0.63,0.70,0.73,0.74,1.00,0.79,0.82,0.82,0.82,0.72,0.65,0.50,0.66,0.67,0.72,0.63,0.45,0.62,0.53,0.50,0.44,0.49
79-3,NaN,0.95,1.00,1.00,0.93,1.00,0.97,0.95,0.81,0.95,0.95,0.93,0.73,0.88,0.49,0.71,0.71,0.99,0.98,0.95,0.89,0.89,0.89,0.95,0.95,0.88,0.72,0.63,0.72,0.94,0.94,0.75,0.96,0.92,0.90,0.68,0.86,0.85,0.85,0.90,0.66,0.79,0.87,0.86,0.73,0.87,0.86,0.87,0.78,0.93,0.86,0.95,0.85,0.86,0.74,0.85,0.57,0.62,0.80,0.73,0.80,0.81,0.73,0.73,0.72,0.78,0.64,0.50,0.64,0.53,0.69,0.75,0.47,0.83,0.57,0.49,0.43,0.54
80-1,NaN,0.94,1.00,0.90,0.91,0.99,0.95,0.98,0.89,0.91,1.00,0.99,0.89,0.86,0.89,0.89,0.89,0.90,0.90,0.94,0.98,0.98,0.98,0.96,0.96,0.91,0.63,0.63,0.63,0.96,0.92,0.85,0.93,0.89,0.89,0.85,0.88,0.88,0.95,1.00,0.74,0.79,0.84,0.94,0.74,0.85,0.89,0.94,0.79,0.95,0.94,0.87,0.81,0.98,0.72,0.94,0.59,0.59,0.74,0.63,0.66,0.77,0.50,0.50,0.50,0.78,0.56,0.50,0.67,0.59,0.57,0.87,0.55,0.84,0.50,0.58,0.55,0.48
80-2,NaN,0.91,0.99,1.00,0.90,0.99,0.96,0.91,0.96,0.95,1.00,0.97,0.79,0.92,0.78,0.78,0.77,0.93,0.93,0.95,0.91,0.91,0.91,0.95,0.95,0.95,0.53,0.53,0.53,0.94,0.96,0.87,0.97,0.92,0.90,0.77,0.80,0.80,0.93,0.94,0.57,0.83,0.87,0.94,0.49,0.87,0.90,0.96,0.79,0.99,0.96,0.94,0.83,0.93,0.73,0.93,0.50,0.50,0.91,0.66,0.74,0.80,0.74,0.74,0.74,0.71,0.58,0.72,0.69,0.55,0.56,0.76,0.47,0.75,0.56,0.51,0.51,0.49
81-1,NaN,0.50,1.00,0.94,0.60,0.93,0.60,0.95,0.70,0.93,0.95,0.95,0.60,0.87,0.50,0.55,0.55,0.90,0.90,0.90,0.91,0.91,0.91,0.50,0.50,0.82,0.50,0.50,0.50,0.92,0.83,0.85,0.88,0.93,0.50,0.80,0.50,0.50,0.95,0.83,0.50,0.85,0.73,0.90,0.50,0.73,0.85,0.90,0.49,0.97,0.92,0.93,0.52,0.90,0.50,0.90,0.50,0.50,0.79,0.71,0.77,0.78,0.50,0.50,0.50,0.52,0.50,0.50,0.64,0.56,0.63,0.58,0.55,0.57,0.50,0.56,0.55,0.50
81-2,NaN,0.50,1.00,0.94,0.60,0.93,0.60,0.95,0.70,0.93,0.95,0.95,0.60,0.87,0.50,0.55,0.55,0.90,0.90,0.90,0.91,0.91,0.91,0.50,0.50,0.82,0.50,0.50,0.50,0.92,0.83,0.85,0.88,0.93,0.50,0.80,0.50,0.50,0.95,0.83,0.50,0.85,0.73,0.90,0.50,0.73,0.85,0.90,0.49,0.97,0.92,0.93,0.52,0.90,0.50,0.90,0.50,0.50,0.79,0.71,0.77,0.78,0.50,0.50,0.50,0.52,0.50,0.50,0.64,0.56,0.63,0.58,0.55,0.57,0.50,0.56,0.55,0.50
82-1,NaN,1.00,1.00,1.00,0.96,0.99,0.96,0.94,0.92,0.99,0.89,0.94,0.93,0.92,0.93,0.93,0.92,0.96,0.96,0.97,0.93,0.93,0.93,0.96,0.96,0.89,0.85,0.85,0.85,0.91,0.85,0.94,0.89,0.81,0.90,0.87,0.90,0.90,0.91,0.96,0.84,0.94,0.82,0.91,0.78,0.82,0.84,0.93,0.89,0.92,0.92,0.83,0.86,0.88,0.85,0.89,0.75,0.74,0.86,0.84,0.78,0.82,0.84,0.83,0.83,0.72,0.75,0.85,0.66,0.66,0.61,0.64,0.57,0.63,0.55,0.53,0.54,0.42
83-1,NaN,1.00,0.99,0.95,0.96,1.00,0.95,0.94,0.95,0.98,0.99,0.91,0.93,0.90,0.93,0.93,0.93,0.97,0.97,0.94,0.94,0.94,0.94,0.95,0.95,0.92,0.83,0.83,0.83,0.90,0.92,0.95,0.96,0.98,0.94,0.90,0.89,0.89,0.98,0.89,0.93,0.96,0.71,0.98,0.97,0.71,0.86,0.93,0.83,0.99,0.93,0.97,0.87,0.90,0.86,0.90,0.87,0.92,0.82,0.88,0.80,0.78,0.76,0.76,0.76,0.65,0.61,0.75,0.62,0.65,0.54,0.71,0.56,0.67,0.54,0.56,0.58,0.62
83-2,NaN,1.00,1.00,0.96,0.96,1.00,0.96,0.94,0.95,0.99,1.00,0.89,0.93,0.92,0.93,0.93,0.93,0.98,0.98,0.94,0.94,0.94,0.94,0.96,0.96,0.93,0.78,0.78,0.78,0.90,0.93,0.97,0.97,0.98,0.94,0.91,0.90,0.90,0.98,0.89,0.90,0.96,0.72,0.98,0.98,0.72,0.88,0.95,0.83,1.00,0.95,0.98,0.87,0.92,0.86,0.92,0.88,0.92,0.82,0.88,0.81,0.78,0.76,0.76,0.76,0.65,0.62,0.75,0.63,0.65,0.54,0.71,0.56,0.67,0.55,0.56,0.58,0.62
84-1,NaN,0.94,0.95,0.99,0.73,0.92,0.70,0.85,0.63,0.85,0.79,0.80,0.48,0.85,0.49,0.49,0.46,0.83,0.83,0.78,0.85,0.86,0.86,0.98,0.98,0.53,0.65,0.64,0.65,0.76,0.46,0.81,0.63,0.78,0.92,0.75,0.85,0.85,0.88,0.63,0.86,0.78,0.51,0.82,0.88,0.51,0.70,0.91,0.81,0.86,0.91,0.83,0.82,0.87,0.65,0.87,0.86,0.86,0.57,0.48,0.59,0.60,0.51,0.51,0.51,0.76,0.44,0.50,0.56,0.66,0.40,0.65,0.50,0.65,0.50,0.50,0.53,0.50
85-1,NaN,1.00,1.00,1.00,0.96,1.00,0.96,0.94,0.89,0.95,0.99,0.95,0.89,0.88,0.88,0.88,0.88,0.99,0.99,0.97,0.88,0.88,0.88,0.92,0.92,0.91,0.87,0.87,0.87,0.94,0.90,0.85,0.95,0.92,0.87,0.91,0.87,0.87,0.84,0.94,0.91,0.82,0.84,0.99,0.82,0.85,0.90,0.92,0.83,0.88,0.92,0.85,0.86,0.89,0.79,0.89,0.79,0.79,0.84,0.85,0.78,0.80,0.71,0.70,0.70,0.70,0.60,0.55,0.65,0.61,0.68,0.62,0.54,0.59,0.49,0.63,0.59,0.47
85-2,NaN,1.00,1.00,1.00,0.96,1.00,0.96,0.94,0.92,0.95,0.99,0.94,0.94,0.87,0.93,0.93,0.93,0.98,0.98,0.97,0.88,0.88,0.88,0.90,0.90,0.89,0.87,0.87,0.87,0.93,0.88,0.86,0.93,0.91,0.85,0.91,0.85,0.84,0.83,0.94,0.91,0.82,0.82,0.97,0.82,0.82,0.90,0.92,0.79,0.88,0.91,0.84,0.83,0.91,0.78,0.89,0.80,0.79,0.83,0.83,0.77,0.79,0.72,0.72,0.71,0.62,0.58,0.54,0.65,0.60,0.64,0.49,0.51,0.47,0.54,0.67,0.59,0.56
86-1,NaN,0.91,0.87,0.75,0.83,0.79,0.83,0.75,0.56,0.80,0.90,0.75,0.50,0.86,0.50,0.50,0.50,0.59,0.59,0.82,0.73,0.73,0.73,0.70,0.70,0.72,0.56,0.56,0.56,0.80,0.79,0.70,0.79,0.82,0.68,0.57,0.65,0.65,0.60,0.50,0.53,0.72,0.72,0.58,0.49,0.72,0.75,0.71,0.63,0.77,0.73,0.73,0.68,0.71,0.58,0.73,0.50,0.50,0.50,0.61,0.49,0.51,0.50,0.50,0.50,0.60,0.53,0.50,0.63,0.56,0.62,0.51,0.52,0.51,0.51,0.49,0.49,0.50
86-2,NaN,0.91,0.87,0.75,0.83,0.79,0.83,0.75,0.56,0.80,0.90,0.75,0.50,0.86,0.50,0.50,0.50,0.59,0.59,0.82,0.73,0.73,0.73,0.70,0.70,0.72,0.56,0.56,0.56,0.80,0.79,0.70,0.79,0.82,0.68,0.57,0.65,0.65,0.60,0.50,0.53,0.72,0.72,0.58,0.49,0.72,0.75,0.71,0.63,0.77,0.73,0.73,0.68,0.71,0.58,0.73,0.50,0.50,0.50,0.61,0.49,0.51,0.50,0.50,0.50,0.60,0.53,0.50,0.63,0.56,0.62,0.51,0.52,0.51,0.51,0.49,0.49,0.50
86-3,NaN,0.91,0.87,0.77,0.86,0.73,0.86,0.75,0.56,0.80,0.86,0.76,0.50,0.87,0.50,0.50,0.50,0.59,0.59,0.77,0.74,0.74,0.74,0.65,0.65,0.70,0.51,0.51,0.51,0.77,0.70,0.64,0.79,0.80,0.63,0.55,0.61,0.61,0.60,0.50,0.50,0.67,0.66,0.59,0.50,0.66,0.74,0.69,0.59,0.75,0.71,0.72,0.61,0.66,0.54,0.68,0.50,0.50,0.50,0.58,0.49,0.52,0.50,0.50,0.50,0.56,0.53,0.50,0.66,0.56,0.63,0.52,0.52,0.51,0.50,0.49,0.49,0.50
87-1,NaN,0.91,1.00,1.00,0.87,1.00,0.96,0.95,0.90,0.94,1.00,0.97,0.63,0.93,0.60,0.60,0.60,0.88,0.88,0.97,0.95,0.95,0.95,0.93,0.93,0.90,0.53,0.53,0.53,0.96,0.92,0.82,0.98,0.93,0.88,0.70,0.84,0.84,0.93,0.85,0.58,0.82,0.85,0.93,0.55,0.86,0.91,0.95,0.81,1.00,0.95,0.95,0.80,0.92,0.73,0.93,0.50,0.50,0.76,0.70,0.76,0.74,0.49,0.49,0.49,0.69,0.56,0.50,0.64,0.56,0.63,0.66,0.54,0.63,0.47,0.52,0.51,0.48
87-2,NaN,0.91,0.96,0.84,0.87,0.89,0.96,0.95,0.90,0.95,1.00,0.98,0.63,0.87,0.60,0.60,0.60,0.88,0.88,0.89,0.95,0.95,0.95,0.87,0.87,0.87,0.53,0.53,0.53,0.96,0.90,0.82,0.97,0.89,0.83,0.70,0.84,0.84,0.93,0.75,0.58,0.82,0.83,0.93,0.55,0.83,0.92,0.93,0.81,1.00,0.93,0.95,0.78,0.90,0.74,0.91,0.50,0.50,0.68,0.68,0.64,0.72,0.49,0.49,0.49,0.69,0.56,0.50,0.64,0.56,0.56,0.69,0.54,0.66,0.47,0.52,0.51,0.48
87-3,NaN,NaN,1.00,0.96,0.80,0.99,0.89,0.82,0.88,0.94,0.99,0.98,0.62,0.88,0.57,0.57,0.57,0.89,0.89,0.95,0.84,0.84,0.83,0.97,0.97,0.90,0.54,0.54,0.54,0.92,0.92,0.77,0.97,0.91,0.92,0.71,0.90,0.90,0.94,0.85,0.59,0.77,0.85,0.93,0.55,0.85,0.90,0.89,0.82,0.99,0.92,0.94,0.83,0.93,0.71,0.90,0.50,0.50,0.76,0.68,0.76,0.74,0.50,0.49,0.49,0.67,0.57,0.50,0.68,0.57,0.63,0.61,0.53,0.58,0.48,0.53,0.51,0.49
88-1,NaN,1.00,0.96,1.00,0.90,0.96,0.90,0.88,0.92,0.89,0.85,0.86,0.94,0.74,0.93,0.93,0.93,0.81,0.81,0.92,0.84,0.84,0.84,0.64,0.64,0.65,0.55,0.55,0.55,0.88,0.69,0.74,0.90,0.78,0.62,0.62,0.64,0.64,0.80,0.81,0.60,0.72,0.66,0.77,0.73,0.65,0.82,0.91,0.62,0.89,0.86,0.85,0.68,0.92,0.72,0.86,0.58,0.58,0.74,0.73,0.72,0.73,0.65,0.64,0.64,0.61,0.50,0.61,0.65,0.48,0.67,0.55,0.51,0.54,0.52,0.47,0.47,0.56
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,0.50,0.50,NaN,0.50,0.48,0.50,0.95,0.82,0.49,0.46,0.44,0.82,NaN,0.82,0.82,0.82,NaN,NaN,0.48,0.94,0.94,0.94,0.49,0.49,0.62,0.56,0.56,0.56,0.48,0.53,0.46,0.57,0.45,0.49,0.49,0.48,0.48,NaN,0.48,0.49,0.46,0.50,NaN,0.50,0.50,0.54,NaN,0.48,0.46,NaN,0.45,0.46,NaN,0.49,NaN,0.49,0.49,0.48,0.49,0.46,0.44,0.49,0.49,0.49,0.54,NaN,0.50,0.36,0.48,0.46,0.43,0.48,0.43,0.44,0.48,0.47,0.49
91-2,NaN,0.50,0.50,NaN,0.50,0.48,0.50,0.94,0.84,0.49,0.46,0.44,0.84,NaN,0.84,0.84,0.84,NaN,NaN,0.48,0.93,0.93,0.93,0.49,0.49,0.62,0.56,0.56,0.56,0.47,0.60,0.46,0.56,0.45,0.49,0.49,0.48,0.48,NaN,0.48,0.49,0.46,0.54,NaN,0.50,0.54,0.55,NaN,0.48,0.46,NaN,0.45,0.46,NaN,0.49,NaN,0.49,0.49,0.48,0.49,0.46,0.44,0.49,0.49,0.49,0.54,NaN,0.50,0.38,0.48,0.48,0.43,0.48,0.43,0.44,0.48,0.47,0.49
91-3,NaN,0.47,0.44,NaN,0.45,0.50,0.45,0.42,0.54,0.74,0.73,0.88,0.54,NaN,0.50,0.55,0.55,NaN,NaN,0.50,0.42,0.42,0.42,0.49,0.49,0.66,0.49,0.49,0.49,0.52,0.66,0.46,0.53,0.70,0.49,0.40,0.48,0.48,NaN,0.81,0.50,0.46,0.68,NaN,0.46,0.68,0.36,NaN,0.65,0.70,NaN,0.69,0.59,NaN,0.50,NaN,0.50,0.50,0.83,0.50,0.81,0.83,0.50,0.50,0.50,0.59,NaN,0.50,0.49,0.45,0.55,0.40,0.50,0.40,0.47,0.50,0.50,0.49
93-1,NaN,NaN,NaN,0.86,0.46,0.95,0.44,0.87,0.88,0.69,NaN,0.69,0.98,NaN,NaN,NaN,NaN,0.97,0.97,0.86,0.61,0.61,0.60,0.92,0.90,0.90,0.93,0.49,0.91,0.55,0.89,NaN,0.71,0.43,0.91,0.90,0.88,0.88,0.99,NaN,NaN,0.48,0.75,0.99,NaN,0.75,0.55,0.92,0.87,0.95,0.94,0.76,0.86,0.92,NaN,0.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.74,NaN,NaN,0.56,NaN,0.68,0.78,0.57,0.78,0.48,0.50,0.98,0.50
93-2,NaN,NaN,NaN,0.83,0.45,0.92,0.42,0.78,0.84,0.63,NaN,0.69,0.97,0.38,NaN,NaN,NaN,0.95,0.95,0.83,0.61,0.61,0.60,0.87,0.85,0.83,0.88,0.49,0.86,0.52,0.83,NaN,0.72,0.65,0.85,0.83,0.81,0.81,0.98,NaN,NaN,0.46,0.69,0.98,NaN,0.69,0.51,0.79,0.81,0.91,0.81,0.76,0.79,0.79,NaN,0.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.63,NaN,NaN,0.56,NaN,0.59,0.73,0.57,0.73,0.48,0.50,0.98,0.50
94-1,NaN,0.64,1.00,0.96,0.71,0.99,0.96,0.88,0.80,0.94,1.00,0.91,0.67,0.84,0.64,0.64,0.64,0.93,0.93,0.97,0.84,0.84,0.84,0.90,0.90,0.91,0.56,0.56,0.56,0.93,0.92,0.74,0.95,0.91,0.85,0.75,0.78,0.78,0.98,0.90,0.60,0.72,0.84,0.98,0.59,0.84,0.85,0.88,0.76,0.99,0.90,0.93,0.77,0.91,0.65,0.83,0.59,0.59,0.80,0.72,0.74,0.75,0.60,0.60,0.60,0.66,0.52,0.56,0.70,0.51,0.65,0.65,0.54,0.63,0.51,0.52,0.50,0.49
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
