ID-model,GO:0008150,GO:2001141,GO:0051252,GO:0010556,GO:0031326,GO:0009889,GO:2000112,GO:0006508,GO:0019219,GO:0051171,GO:0031324,GO:0019538,GO:0009892,GO:0080090,GO:0031323,GO:0043170,GO:0010468,GO:0060255,GO:0090304,GO:0006725,GO:0051641,GO:0006810,GO:0044260,GO:0008152,GO:0006139,GO:0071704,GO:0048523,GO:0046483,GO:0048519,GO:0006807,GO:0034641,GO:1901360,GO:0019222,GO:0044238,GO:0051234,GO:0065008,GO:0048522,GO:0048518,GO:0044237,GO:0007010,GO:0007154,GO:0051716,GO:0050794,GO:0048869,GO:0051179,GO:0030154,GO:0002244,GO:0051128,GO:0050789,GO:0065007,GO:0048468,GO:0048583,GO:0044763,GO:0051239,GO:0002376,GO:0044699,GO:0006996,GO:0006950,GO:0050896,GO:0009987,GO:0048731,GO:0023051,GO:0042221,GO:0010646,GO:0071840,GO:0016043,GO:0050793,GO:0048513,GO:0032502,GO:0044707,GO:0032501,GO:0007275,GO:0048856,GO:0051049,GO:0030097,GO:0048534,GO:0044767,GO:0002520,GO:0032879
70-1,NaN,0.79,0.76,0.79,0.82,0.79,0.69,0.79,0.82,0.79,0.72,0.68,0.82,0.76,0.74,0.65,0.74,0.74,0.70,0.69,0.80,0.68,0.69,0.66,0.68,0.63,0.56,0.68,0.59,0.70,0.69,0.69,0.67,0.62,0.75,0.68,0.56,0.49,0.71,0.76,0.63,0.40,0.63,0.61,0.72,0.61,0.50,0.59,0.58,0.58,0.71,0.67,0.68,0.53,0.51,0.68,0.64,0.52,0.48,0.60,0.53,0.55,0.56,0.60,0.65,0.61,0.61,0.49,0.56,0.54,0.48,0.56,0.53,0.64,0.31,0.31,0.58,0.36,0.65
70-2,NaN,0.76,0.80,0.75,0.75,0.81,0.62,0.50,0.77,0.82,0.68,0.52,0.71,0.72,0.77,0.52,0.64,0.70,0.64,0.63,0.61,0.76,0.69,0.53,0.57,0.52,0.65,0.60,0.62,0.60,0.57,0.60,0.69,0.52,0.67,0.49,0.57,0.55,0.58,0.62,0.52,0.50,0.61,0.53,0.65,0.59,0.50,0.50,0.59,0.56,0.55,0.55,0.54,0.50,0.60,0.57,0.50,0.44,0.48,0.46,0.49,0.53,0.52,0.54,0.49,0.49,0.59,0.46,0.47,0.53,0.49,0.48,0.49,0.35,0.50,0.46,0.50,0.48,0.42
70-3,NaN,0.50,0.87,0.50,0.50,0.50,0.50,0.48,0.86,0.86,0.50,0.51,0.50,0.81,0.81,0.57,0.59,0.77,0.72,0.71,0.62,0.82,0.73,0.59,0.73,0.57,0.42,0.71,0.51,0.70,0.71,0.61,0.74,0.56,0.76,0.67,0.41,0.52,0.68,0.52,0.56,0.45,0.65,0.52,0.72,0.52,0.50,0.45,0.64,0.59,0.48,0.47,0.51,0.51,0.49,0.49,0.66,0.49,0.43,0.53,0.44,0.45,0.48,0.48,0.58,0.58,0.49,0.52,0.46,0.46,0.46,0.44,0.45,0.50,0.50,0.50,0.54,0.50,0.55
72-1,NaN,0.81,0.77,0.83,0.83,0.82,0.85,0.77,0.72,0.72,0.79,0.75,0.78,0.72,0.66,0.73,0.78,0.70,0.68,0.66,0.54,0.69,0.69,0.72,0.64,0.67,0.63,0.66,0.68,0.68,0.67,0.65,0.61,0.66,0.68,0.58,0.52,0.52,0.70,0.74,0.48,0.58,0.61,0.52,0.64,0.52,0.50,0.62,0.57,0.57,0.49,0.60,0.60,0.44,0.57,0.59,0.69,0.44,0.54,0.50,0.48,0.52,0.49,0.52,0.57,0.57,0.53,0.50,0.50,0.47,0.47,0.47,0.49,0.53,0.50,0.50,0.47,0.50,0.51
72-2,NaN,0.81,0.74,0.85,0.85,0.85,0.89,0.75,0.73,0.73,0.77,0.73,0.77,0.77,0.70,0.69,0.78,0.72,0.67,0.64,0.55,0.67,0.69,0.72,0.64,0.66,0.69,0.64,0.68,0.69,0.69,0.64,0.64,0.66,0.69,0.48,0.53,0.55,0.66,0.49,0.41,0.48,0.70,0.49,0.67,0.49,0.50,0.63,0.68,0.69,0.50,0.56,0.64,0.49,0.49,0.60,0.68,0.44,0.41,0.63,0.53,0.59,0.47,0.59,0.62,0.62,0.57,0.56,0.54,0.54,0.51,0.53,0.56,0.50,0.50,0.50,0.53,0.50,0.49
73-1,NaN,0.72,0.72,0.70,0.70,0.70,0.66,0.89,0.75,0.75,0.69,0.79,0.68,0.70,0.64,0.70,0.63,0.62,0.64,0.69,0.78,0.75,0.68,0.66,0.69,0.67,0.50,0.69,0.51,0.69,0.67,0.68,0.56,0.66,0.76,0.59,0.57,0.55,0.65,0.68,0.53,0.55,0.55,0.55,0.73,0.55,0.49,0.58,0.59,0.54,0.47,0.62,0.52,0.52,0.53,0.52,0.62,0.49,0.50,0.48,0.59,0.48,0.51,0.48,0.62,0.63,0.44,0.51,0.56,0.61,0.60,0.61,0.55,0.36,0.41,0.41,0.48,0.40,0.33
73-2,NaN,0.72,0.71,0.74,0.74,0.74,0.72,0.89,0.74,0.74,0.69,0.79,0.68,0.72,0.66,0.71,0.63,0.62,0.68,0.73,0.78,0.75,0.69,0.66,0.73,0.67,0.51,0.74,0.51,0.73,0.72,0.73,0.57,0.67,0.76,0.64,0.58,0.54,0.66,0.70,0.54,0.54,0.56,0.54,0.73,0.55,0.49,0.57,0.58,0.54,0.46,0.61,0.52,0.51,0.53,0.52,0.62,0.49,0.50,0.48,0.59,0.48,0.52,0.48,0.62,0.62,0.43,0.52,0.56,0.60,0.59,0.60,0.54,0.35,0.40,0.40,0.48,0.40,0.33
73-3,NaN,0.73,0.74,0.69,0.69,0.67,0.68,0.55,0.75,0.75,0.71,0.56,0.70,0.66,0.61,0.56,0.64,0.61,0.57,0.56,0.57,0.51,0.57,0.52,0.58,0.52,0.58,0.56,0.54,0.55,0.54,0.55,0.56,0.53,0.55,0.55,0.60,0.56,0.52,0.67,0.53,0.53,0.54,0.54,0.55,0.52,0.49,0.56,0.55,0.55,0.50,0.56,0.53,0.53,0.53,0.53,0.52,0.52,0.44,0.50,0.54,0.54,0.46,0.54,0.54,0.54,0.50,0.55,0.57,0.55,0.55,0.55,0.55,0.35,0.39,0.38,0.55,0.38,0.33
74-1,NaN,0.79,0.82,0.82,0.82,0.82,0.88,1.00,0.80,0.80,0.68,0.89,0.68,0.82,0.80,0.85,0.86,0.81,0.82,0.76,0.63,0.70,0.83,0.82,0.73,0.81,0.69,0.76,0.67,0.76,0.72,0.75,0.75,0.76,0.72,0.60,0.69,0.64,0.80,0.58,0.73,0.61,0.73,0.57,0.72,0.57,0.50,0.66,0.67,0.62,0.70,0.61,0.49,0.54,0.54,0.55,0.54,0.53,0.46,0.51,0.54,0.58,0.58,0.57,0.54,0.48,0.52,0.49,0.55,0.54,0.54,0.50,0.50,0.48,0.51,0.51,0.48,0.51,0.47
74-2,NaN,0.84,0.83,0.85,0.85,0.85,0.86,0.89,0.81,0.81,0.56,0.79,0.55,0.82,0.76,0.79,0.79,0.81,0.84,0.84,0.68,0.68,0.77,0.74,0.83,0.74,0.50,0.83,0.50,0.83,0.82,0.81,0.73,0.72,0.69,0.60,0.49,0.53,0.72,0.68,0.73,0.54,0.66,0.59,0.69,0.54,0.50,0.49,0.64,0.64,0.55,0.60,0.62,0.46,0.55,0.63,0.63,0.55,0.50,0.55,0.57,0.54,0.56,0.54,0.64,0.62,0.51,0.50,0.55,0.53,0.54,0.50,0.54,0.51,0.51,0.50,0.52,0.50,0.50
75-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-2,NaN,0.89,0.88,0.87,0.87,0.87,0.84,0.93,0.87,0.87,0.86,0.87,0.82,0.81,0.78,0.77,0.77,0.76,0.88,0.85,0.80,0.74,0.81,0.73,0.85,0.73,0.66,0.85,0.63,0.83,0.84,0.85,0.67,0.73,0.76,0.64,0.66,0.67,0.74,0.81,0.62,0.56,0.71,0.68,0.76,0.66,0.48,0.62,0.70,0.66,0.66,0.65,0.61,0.71,0.63,0.61,0.71,0.63,0.60,0.63,0.61,0.58,0.54,0.58,0.68,0.66,0.55,0.61,0.63,0.58,0.58,0.61,0.62,0.48,0.49,0.49,0.57,0.48,0.47
79-1,NaN,0.85,0.82,0.80,0.80,0.80,0.75,0.63,0.82,0.82,0.82,0.87,0.80,0.76,0.75,0.82,0.76,0.77,0.77,0.76,0.74,0.68,0.82,0.81,0.76,0.75,0.66,0.77,0.67,0.73,0.73,0.74,0.72,0.73,0.71,0.61,0.66,0.63,0.77,0.71,0.60,0.47,0.61,0.62,0.68,0.64,0.48,0.61,0.61,0.65,0.43,0.58,0.58,0.54,0.53,0.58,0.62,0.55,0.48,0.59,0.49,0.66,0.35,0.66,0.70,0.67,0.62,0.40,0.55,0.57,0.54,0.52,0.47,0.51,0.41,0.40,0.46,0.40,0.48
79-2,NaN,0.91,0.87,0.91,0.91,0.91,0.88,0.66,0.86,0.86,0.89,0.88,0.88,0.83,0.83,0.88,0.87,0.88,0.85,0.85,0.78,0.75,0.93,0.84,0.84,0.79,0.65,0.85,0.68,0.82,0.81,0.83,0.80,0.77,0.75,0.66,0.66,0.61,0.86,0.55,0.59,0.45,0.64,0.64,0.73,0.66,0.49,0.57,0.63,0.68,0.49,0.56,0.59,0.59,0.58,0.56,0.51,0.61,0.58,0.60,0.54,0.64,0.37,0.64,0.65,0.66,0.55,0.46,0.61,0.62,0.59,0.58,0.52,0.55,0.42,0.42,0.50,0.42,0.52
79-3,NaN,0.82,0.81,0.78,0.78,0.78,0.78,0.75,0.74,0.74,0.74,0.88,0.71,0.73,0.66,0.79,0.71,0.68,0.72,0.69,0.57,0.75,0.77,0.77,0.69,0.74,0.58,0.70,0.59,0.69,0.67,0.68,0.64,0.72,0.70,0.59,0.57,0.55,0.74,0.53,0.56,0.47,0.61,0.58,0.66,0.58,0.48,0.59,0.59,0.61,0.44,0.55,0.57,0.53,0.52,0.53,0.50,0.47,0.46,0.55,0.49,0.54,0.36,0.54,0.55,0.56,0.58,0.44,0.52,0.51,0.48,0.47,0.43,0.44,0.43,0.42,0.46,0.42,0.41
80-1,NaN,0.80,0.84,0.81,0.81,0.81,0.87,0.77,0.82,0.82,0.74,0.75,0.74,0.82,0.79,0.75,0.85,0.81,0.77,0.72,0.64,0.68,0.83,0.75,0.69,0.72,0.75,0.72,0.72,0.72,0.68,0.71,0.74,0.67,0.70,0.60,0.63,0.62,0.78,0.56,0.75,0.61,0.76,0.57,0.68,0.57,0.50,0.68,0.69,0.64,0.70,0.61,0.53,0.62,0.56,0.56,0.60,0.56,0.48,0.50,0.58,0.59,0.56,0.58,0.61,0.56,0.51,0.50,0.58,0.55,0.55,0.54,0.54,0.49,0.52,0.52,0.54,0.52,0.49
80-2,NaN,0.88,0.89,0.88,0.88,0.88,0.90,0.95,0.85,0.85,0.71,0.88,0.70,0.85,0.78,0.86,0.80,0.81,0.83,0.82,0.67,0.69,0.85,0.81,0.81,0.81,0.66,0.81,0.66,0.81,0.80,0.80,0.71,0.79,0.69,0.62,0.51,0.55,0.77,0.73,0.73,0.58,0.69,0.58,0.68,0.53,0.50,0.57,0.65,0.62,0.55,0.67,0.61,0.48,0.57,0.61,0.67,0.59,0.54,0.56,0.59,0.58,0.58,0.58,0.67,0.65,0.50,0.52,0.57,0.54,0.53,0.53,0.57,0.51,0.51,0.50,0.53,0.50,0.49
81-1,NaN,0.67,0.64,0.66,0.70,0.70,0.66,0.79,0.61,0.61,0.54,0.81,0.54,0.59,0.59,0.84,0.65,0.63,0.82,0.79,0.63,0.64,0.83,0.80,0.77,0.76,0.51,0.79,0.53,0.83,0.82,0.78,0.58,0.71,0.69,0.71,0.58,0.59,0.75,0.65,0.70,0.58,0.60,0.56,0.61,0.54,0.50,0.60,0.61,0.62,0.48,0.57,0.63,0.60,0.54,0.60,0.62,0.56,0.58,0.57,0.49,0.47,0.66,0.47,0.60,0.60,0.62,0.49,0.46,0.52,0.54,0.48,0.48,0.55,0.48,0.48,0.49,0.48,0.54
81-2,NaN,0.67,0.64,0.66,0.70,0.70,0.66,0.79,0.61,0.61,0.54,0.81,0.54,0.59,0.59,0.84,0.65,0.63,0.82,0.79,0.63,0.64,0.83,0.80,0.77,0.76,0.51,0.79,0.53,0.83,0.82,0.78,0.58,0.71,0.69,0.71,0.58,0.59,0.76,0.65,0.70,0.58,0.60,0.56,0.61,0.54,0.50,0.60,0.61,0.62,0.48,0.57,0.63,0.60,0.54,0.60,0.62,0.56,0.58,0.57,0.49,0.47,0.66,0.47,0.60,0.60,0.62,0.49,0.46,0.52,0.54,0.48,0.49,0.55,0.48,0.48,0.49,0.48,0.54
82-1,NaN,0.66,0.63,0.74,0.72,0.72,0.69,0.79,0.62,0.62,0.69,0.80,0.68,0.57,0.57,0.72,0.64,0.55,0.53,0.61,0.72,0.67,0.69,0.65,0.65,0.55,0.56,0.62,0.54,0.56,0.57,0.64,0.56,0.60,0.65,0.53,0.65,0.60,0.61,0.62,0.58,0.54,0.56,0.49,0.64,0.45,0.50,0.59,0.54,0.55,0.43,0.58,0.52,0.60,0.51,0.45,0.58,0.49,0.48,0.50,0.45,0.50,0.48,0.50,0.50,0.51,0.55,0.45,0.43,0.43,0.45,0.42,0.41,0.44,0.48,0.48,0.38,0.48,0.47
83-1,NaN,0.93,0.90,0.86,0.85,0.85,0.83,0.97,0.84,0.83,0.91,0.91,0.91,0.44,0.41,0.50,0.72,0.76,0.85,0.44,0.66,0.67,0.83,0.50,0.81,0.49,0.63,0.44,0.64,0.43,0.47,0.43,0.46,0.52,0.67,0.68,0.61,0.59,0.51,0.81,0.72,0.49,0.46,0.59,0.64,0.57,0.48,0.62,0.50,0.49,0.60,0.66,0.52,0.58,0.47,0.49,0.70,0.53,0.52,0.51,0.48,0.50,0.54,0.49,0.53,0.53,0.52,0.51,0.53,0.51,0.51,0.43,0.49,0.59,0.41,0.40,0.52,0.43,0.53
83-2,NaN,0.93,0.90,0.87,0.87,0.86,0.84,0.97,0.84,0.83,0.91,0.92,0.91,0.44,0.41,0.50,0.72,0.77,0.85,0.45,0.67,0.64,0.83,0.50,0.81,0.49,0.62,0.45,0.63,0.44,0.48,0.44,0.46,0.52,0.66,0.61,0.61,0.59,0.52,0.81,0.72,0.50,0.46,0.59,0.62,0.58,0.48,0.62,0.50,0.49,0.61,0.67,0.53,0.55,0.51,0.49,0.71,0.54,0.53,0.52,0.49,0.51,0.55,0.51,0.53,0.53,0.53,0.52,0.53,0.52,0.51,0.44,0.49,0.59,0.41,0.40,0.52,0.43,0.53
84-1,NaN,0.54,0.54,0.53,0.57,0.57,0.56,0.50,0.53,0.53,0.49,0.50,0.48,0.59,0.60,0.58,0.58,0.62,0.60,0.53,0.64,0.55,0.59,0.70,0.51,0.60,0.54,0.53,0.49,0.59,0.51,0.53,0.62,0.50,0.54,0.50,0.58,0.57,0.55,0.49,0.83,0.58,0.63,0.66,0.60,0.65,0.50,0.53,0.64,0.65,0.79,0.62,0.58,0.41,0.60,0.52,0.56,0.40,0.66,0.44,0.57,0.64,0.38,0.64,0.58,0.55,0.39,0.50,0.58,0.57,0.55,0.53,0.56,0.32,0.49,0.48,0.53,0.48,0.32
85-1,NaN,0.93,0.89,0.88,0.88,0.88,0.86,0.91,0.83,0.83,0.87,0.81,0.86,0.79,0.73,0.79,0.74,0.75,0.69,0.67,0.78,0.76,0.82,0.74,0.69,0.71,0.65,0.68,0.64,0.64,0.67,0.65,0.65,0.69,0.82,0.53,0.63,0.62,0.74,0.65,0.61,0.60,0.68,0.53,0.79,0.56,0.50,0.58,0.64,0.59,0.52,0.63,0.62,0.54,0.59,0.58,0.54,0.53,0.48,0.49,0.47,0.57,0.49,0.56,0.52,0.51,0.53,0.45,0.46,0.45,0.43,0.49,0.46,0.39,0.45,0.44,0.37,0.44,0.36
85-2,NaN,0.93,0.89,0.88,0.88,0.88,0.86,0.91,0.83,0.83,0.87,0.81,0.86,0.79,0.73,0.79,0.74,0.75,0.69,0.67,0.78,0.76,0.82,0.74,0.69,0.71,0.65,0.68,0.64,0.64,0.67,0.65,0.65,0.69,0.82,0.53,0.63,0.62,0.74,0.65,0.61,0.60,0.68,0.53,0.79,0.56,0.50,0.58,0.64,0.59,0.52,0.63,0.62,0.54,0.59,0.58,0.54,0.53,0.48,0.49,0.47,0.57,0.49,0.56,0.52,0.51,0.53,0.45,0.46,0.45,0.43,0.49,0.46,0.39,0.45,0.44,0.37,0.44,0.36
86-1,NaN,0.68,0.67,0.66,0.66,0.66,0.68,0.57,0.65,0.65,0.54,0.63,0.53,0.62,0.63,0.60,0.65,0.64,0.59,0.59,0.53,0.62,0.61,0.77,0.61,0.55,0.52,0.59,0.54,0.59,0.61,0.59,0.61,0.53,0.66,0.52,0.52,0.53,0.58,0.49,0.44,0.57,0.53,0.53,0.63,0.53,0.50,0.53,0.55,0.53,0.55,0.52,0.54,0.50,0.51,0.53,0.50,0.48,0.50,0.52,0.53,0.53,0.50,0.53,0.50,0.50,0.54,0.54,0.51,0.49,0.50,0.51,0.54,0.48,0.50,0.50,0.52,0.50,0.47
86-2,NaN,0.68,0.67,0.66,0.66,0.66,0.68,0.57,0.65,0.65,0.54,0.63,0.53,0.62,0.63,0.60,0.65,0.64,0.59,0.59,0.53,0.62,0.61,0.77,0.61,0.55,0.52,0.59,0.54,0.59,0.61,0.59,0.61,0.53,0.66,0.52,0.52,0.53,0.58,0.49,0.44,0.57,0.53,0.53,0.63,0.53,0.50,0.53,0.55,0.53,0.55,0.52,0.54,0.50,0.51,0.53,0.50,0.48,0.50,0.52,0.53,0.53,0.50,0.53,0.50,0.50,0.54,0.54,0.51,0.49,0.50,0.51,0.54,0.48,0.50,0.50,0.52,0.50,0.47
86-3,NaN,0.75,0.75,0.75,0.75,0.75,0.75,0.57,0.73,0.73,0.49,0.64,0.48,0.73,0.65,0.57,0.83,0.83,0.47,0.46,0.74,0.60,0.74,0.81,0.47,0.46,0.54,0.46,0.54,0.45,0.46,0.46,0.73,0.49,0.68,0.46,0.56,0.55,0.75,NaN,0.47,0.63,0.55,0.58,0.68,0.58,0.50,0.58,0.58,0.59,0.50,0.58,0.68,0.49,0.62,0.70,0.63,0.48,0.54,0.68,0.63,0.60,0.62,0.60,0.81,0.81,0.60,0.63,0.56,0.69,0.69,0.59,0.57,0.46,0.50,0.50,0.58,0.50,0.46
87-1,NaN,0.85,0.83,0.78,0.79,0.78,0.80,0.95,0.76,0.76,0.68,0.80,0.66,0.70,0.64,0.78,0.74,0.68,0.83,0.79,0.70,0.82,0.81,0.75,0.81,0.70,0.57,0.81,0.58,0.80,0.80,0.77,0.59,0.68,0.79,0.62,0.60,0.58,0.75,0.66,0.60,0.58,0.57,0.49,0.75,0.50,0.50,0.58,0.54,0.58,0.51,0.60,0.56,0.51,0.47,0.54,0.56,0.49,0.54,0.59,0.42,0.60,0.59,0.60,0.57,0.56,0.46,0.46,0.42,0.41,0.40,0.43,0.40,0.48,0.42,0.42,0.40,0.42,0.51
87-2,NaN,0.82,0.81,0.76,0.77,0.76,0.76,0.83,0.73,0.73,0.66,0.79,0.64,0.67,0.62,0.79,0.73,0.67,0.77,0.70,0.66,0.80,0.75,0.76,0.75,0.70,0.55,0.71,0.56,0.75,0.75,0.68,0.58,0.71,0.78,0.62,0.59,0.57,0.73,0.64,0.58,0.55,0.57,0.51,0.74,0.52,0.50,0.56,0.54,0.56,0.52,0.58,0.49,0.50,0.45,0.47,0.56,0.47,0.48,0.50,0.42,0.58,0.55,0.58,0.56,0.55,0.46,0.45,0.40,0.39,0.37,0.41,0.39,0.49,0.43,0.43,0.39,0.43,0.50
87-3,NaN,0.88,0.87,0.79,0.81,0.79,0.77,0.93,0.77,0.77,0.65,0.79,0.64,0.69,0.66,0.75,0.72,0.70,0.72,0.67,0.66,0.75,0.71,0.73,0.67,0.69,0.56,0.67,0.54,0.67,0.64,0.65,0.60,0.67,0.75,0.54,0.59,0.59,0.71,0.67,0.53,0.48,0.61,0.51,0.69,0.52,0.50,0.53,0.58,0.63,0.50,0.56,0.52,0.55,0.39,0.50,0.60,0.40,0.43,0.54,0.42,0.60,0.51,0.60,0.57,0.57,0.49,0.48,0.40,0.39,0.37,0.39,0.36,0.52,0.45,0.45,0.39,0.45,0.51
88-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94-1,NaN,0.87,0.86,0.84,0.84,0.84,0.85,0.94,0.83,0.83,0.80,0.86,0.80,0.79,0.75,0.86,0.77,0.77,0.88,0.83,0.65,0.76,0.87,0.78,0.83,0.79,0.65,0.83,0.70,0.83,0.82,0.82,0.69,0.78,0.76,0.68,0.64,0.59,0.78,0.77,0.63,0.60,0.68,0.53,0.71,0.54,0.50,0.58,0.63,0.61,0.55,0.55,0.66,0.51,0.55,0.68,0.69,0.60,0.58,0.59,0.53,0.51,0.63,0.51,0.66,0.64,0.50,0.54,0.52,0.58,0.56,0.52,0.53,0.50,0.49,0.49,0.52,0.48,0.47
95-1,NaN,0.78,0.75,0.75,0.75,0.75,0.70,0.79,0.75,0.75,0.71,0.67,0.72,0.74,0.72,0.57,0.71,0.71,0.52,0.57,0.71,0.61,0.56,0.57,0.55,0.58,0.59,0.57,0.62,0.57,0.55,0.57,0.68,0.56,0.62,0.52,0.64,0.61,0.59,0.74,0.54,0.52,0.60,0.53,0.59,0.54,0.48,0.59,0.57,0.56,0.68,0.45,0.52,0.48,0.53,0.45,0.62,0.57,0.48,0.54,0.52,0.38,0.52,0.39,0.55,0.56,0.51,0.54,0.47,0.48,0.50,0.49,0.47,0.44,0.46,0.46,0.48,0.44,0.40
